,count,mean,std,min,25%,50%,75%,max
ExternalRiskEstimate,937.0,71.96264674493062,10.888012533005321,-9.0,64.0,72.0,81.0,92.0
MSinceOldestTradeOpen,937.0,199.0811099252935,106.68822816757236,-8.0,131.0,184.0,259.0,589.0
MSinceMostRecentTradeOpen,937.0,9.339381003201707,10.5259181970001,0.0,3.0,6.0,12.0,95.0
AverageMInFile,937.0,79.38954108858057,35.09158983031532,7.0,56.0,76.0,97.0,258.0
NumSatisfactoryTrades,937.0,20.802561366061898,10.584745204266012,1.0,13.0,20.0,27.0,74.0
NumTrades60Ever2DerogPubRec,937.0,0.5688367129135539,1.279276818951013,0.0,0.0,0.0,1.0,19.0
NumTrades90Ever2DerogPubRec,937.0,0.39487726787620064,1.0928552987188316,0.0,0.0,0.0,0.0,19.0
PercentTradesNeverDelq,937.0,92.65314834578442,11.02378320573625,29.0,89.0,97.0,100.0,100.0
MSinceMostRecentDelq,937.0,7.062966915688367,20.11439732255345,-8.0,-7.0,0.0,13.0,81.0
NumTotalTrades,937.0,21.7940234791889,12.143956963805676,0.0,13.0,20.0,29.0,84.0
NumTradesOpeninLast12M,937.0,1.8196371398078977,1.8117961871434012,0.0,0.0,1.0,3.0,11.0
PercentInstallTrades,937.0,33.92956243329776,18.140811733285776,0.0,21.0,32.0,44.0,100.0
MSinceMostRecentInqexcl7days,937.0,-0.1248665955176094,5.86423961016898,-8.0,-7.0,0.0,1.0,23.0
NumInqLast6M,937.0,1.367129135538954,1.9047027880670253,0.0,0.0,1.0,2.0,18.0
NumInqLast6Mexcl7days,937.0,1.3116328708644611,1.8521768209820868,0.0,0.0,1.0,2.0,18.0
NetFractionRevolvingBurden,937.0,33.30843116328709,28.939811239295196,-8.0,8.0,28.0,54.0,165.0
NetFractionInstallBurden,937.0,41.075773745997864,40.988189095976885,-8.0,-8.0,50.0,79.0,138.0
NumRevolvingTradesWBalance,937.0,3.7897545357524014,3.14084982980055,-8.0,2.0,3.0,5.0,17.0
NumInstallTradesWBalance,937.0,1.4941302027748133,3.311501859957082,-8.0,1.0,2.0,3.0,13.0
NumBank2NatlTradesWHighUtilization,937.0,0.6606189967982924,2.4625565291315956,-8.0,0.0,1.0,2.0,13.0
PercentTradesWBalance,937.0,65.34578441835646,21.804197770988523,-8.0,50.0,65.0,83.0,100.0
